Gene Symbol	Number of perturbations	Anchor_arm_1_Avg_res	Anchor_arm_1_Avg_pval	Anchor_arm_2_Avg_res	Anchor_arm_2_Avg_pval
A1BG	4	-0.13885778651699998	0.51760981351	-0.167058378058	0.442732866679
A1CF	4	-0.561255453086	0.715442784075	-0.328072373835	0.535475789341
A2M	4	0.275501234546	1.13984370554	0.305625556247	0.9263139840539999
A2ML1	4	-0.7173443266399999	1.15497517015	-0.36921506522200004	0.629171663516
A3GALT2	4	-0.200098732474	0.447879893845	-0.0838460978277	0.532499165218
A4GALT	4	-0.0536023498728	0.631297205294	0.0588621820451	0.6646649313930001
A4GNT	4	-0.150015452365	0.4957777482	-0.55264419611	0.9226960367970001
AAAS	4	0.0627030439722	0.666141080656	-0.36366186955700003	0.568730131101
AACS	4	-0.20663716557999998	0.516595794006	0.154809673524	0.76748349213
AADAC	4	0.29062331659400004	1.17253940619	-0.347276499116	0.626306092684
AADACL2	4	-0.0540263080975	0.5607560157460001	-0.478950763176	0.743487573844
AADACL3	4	-0.466476052515	0.659114566926	0.146315204226	0.922205511743
AADACL4	4	-0.466768468424	0.586949457436	-0.320735517883	0.598020820427
AADAT	4	-0.33692676397200005	0.5337742391570001	-0.211464660123	0.462844969259
AAED1	4	0.5625918670100001	1.51288333174	-0.0727010237809	0.5958788225280001
AAGAB	4	-0.531504095778	0.719523588465	0.133833039694	0.806010240165
AAK1	4	-1.29597519125	2.45465269941	-0.9058830646930001	1.54686817019
AAMDC	4	-0.0813474590252	0.563460839339	0.0644693763224	0.7382654115870001
AAMP	4	-0.18510334331599998	0.46503226720799995	-0.006151507000729999	0.682345660236
AANAT	4	-0.185024463564	0.499921650711	-0.148934346186	0.474840186108
AAR2	4	0.057337416073000004	0.739271519872	0.07298081537619999	0.733564429125
AARD	4	-0.741698362934	1.00087968117	-0.368363849154	0.657992560877
AARS	4	-0.7909329856630001	1.12635976084	0.41441698721500003	1.17769667763
AARS2	4	0.353249674164	1.00355726566	-0.143309028229	0.523809597301
AARSD1	4	-0.0359468388113	0.594536016783	0.631595823708	1.67897009765
AASDH	4	-0.620136080998	0.933182547231	-0.401132928152	0.639476135696
AASDHPPT	4	-0.424676565214	0.595104918833	0.237350045851	0.954783397946
AASS	4	-0.46257973529299995	0.586018866632	-0.193264250797	0.538773214701
AATF	4	-0.487996308793	0.692803862361	0.34132658266099997	1.1900483908700001
AATK	4	0.06701558745630001	0.803038971142	0.167395626333	0.912482614555
ABAT	4	-0.31018006236400003	0.734635495461	-0.571769937229	0.852275245961
ABCA1	4	-0.419280814318	0.618035666636	-0.477183897856	0.793096173413
ABCA10	4	0.8160086986599999	1.84610774212	-0.283812655133	0.49804938400700005
ABCA12	4	-0.30391118631999997	0.507387159605	-0.44722649176000007	0.661234036816
ABCA13	4	-0.34421346609	0.540097171397	-0.044614324209199994	0.515384226009
ABCA2	4	-0.7015071760449999	0.907981806964	-0.589017147407	0.949660777261
ABCA3	4	0.30005756433499997	1.00248591547	0.164293244433	0.8358828137600001
ABCA4	4	-0.358467347255	0.519106969495	-0.318827430017	0.563429160341
ABCA5	4	0.07630133415910001	0.690676476072	-0.363334656137	0.628506122598
ABCA6	4	-0.540100507712	0.741787446821	-0.446237682952	0.838031875315
ABCA7	4	-0.22795176999800001	0.470384127879	-0.13522525721200002	0.530454999225
ABCA8	4	0.091486221963	0.70838548566	-0.0145439908874	0.605871233215
ABCA9	4	-0.305390971194	0.450250909445	-0.20708560394499997	0.5760340715869999
ABCB1	4	-0.0317150854307	0.598837153145	0.044601908091599994	0.672483826692
ABCB10	4	-0.17644485022700002	0.532470566813	-0.013306895162299999	0.6505367311029999
ABCB11	4	-0.148154456756	0.49097871502400003	0.0664261452721	0.814389073752
ABCB4	4	0.21254579183	0.8928358231100001	-0.195345397555	0.533616920935
ABCB5	4	0.100855457929	0.806235296772	0.435347031276	1.13607444998
ABCB6	4	-0.10675007397500001	0.628380290193	-0.35491804862599996	0.6349539749750001
ABCB7	4	-0.862579220726	1.20221279534	-0.502851048277	0.795686614235
ABCB8	4	0.248618357787	0.9346130161439999	0.027335054516599996	0.6932296395990001
ABCB9	4	-0.0985981685278	0.549970719331	-0.17238962061000002	0.530869328321
ABCC1	4	-0.530805051361	0.7578451666320001	0.537122269693	1.29768900706
ABCC10	4	-0.245455515713	0.44457711676899997	-0.0433789415766	0.779664378275
ABCC11	4	-0.0962734393994	0.550171742446	-0.22493425616700002	0.448886923574
ABCC12	4	-0.4874204528600001	0.647883749654	-0.333783816074	0.5597904656220001
ABCC2	4	-0.142748730009	0.617692282618	-0.333599079874	0.8137333725579999
ABCC3	4	-0.103293754143	0.6806481101559999	-0.124874473894	0.474960654283
ABCC4	4	-0.5132373034350001	0.662842645325	-0.203811295251	0.474163148122
ABCC5	4	-0.163984028687	0.5369253580610001	-0.29854408317	0.620927784306
ABCC6	4	-0.626561216096	0.899900652411	-0.485905954741	0.755128621106
ABCC8	4	0.023773309109700002	0.641127917615	0.061277506846	0.6986096572820001
ABCC9	4	-0.15327049818	0.48928928432400004	0.312307181751	1.07247812117
